"2021 super output area - middle layer","mnemonic","Total: All usual residents aged 16 years and over","Economically active (excluding full-time students)","Economically active (excluding full-time students):In employment","Economically active (excluding full-time students): Unemployed","Economically active and a full-time student","Economically active and a full-time student:In employment","Economically active and a full-time student: Unemployed","Economically inactive","Economically inactive: Retired","Economically inactive: Student","Economically inactive: Looking after home or family","Economically inactive: Long-term sick or disabled","Economically inactive: Other"
"Leeds 102","E02002431",100.0,68.6,65.9,2.7,1.9,1.5,0.4,29.5,15.4,3.2,3.7,4.4,2.8
"Leeds 103","E02002432",100.0,62.3,60.0,2.3,1.9,1.4,0.5,35.8,23.7,3.6,2.8,3.6,2.1
"Leeds 104","E02002433",100.0,62.4,59.4,3.0,1.9,1.4,0.5,35.7,21.2,3.4,2.8,5.6,2.6
"Leeds 105","E02002434",100.0,71.3,68.9,2.5,2.0,1.6,0.5,26.6,14.7,3.8,3.0,3.2,1.9
"Leeds 106","E02002435",100.0,65.1,63.1,2.1,1.7,1.4,0.4,33.1,22.2,3.3,2.8,2.9,2.0
"Leeds 107","E02002436",100.0,60.6,58.7,1.9,1.8,1.5,0.3,37.7,22.1,3.3,3.9,5.7,2.7
"Leeds 108","E02002437",100.0,62.9,61.5,1.3,1.7,1.2,0.5,35.5,25.2,3.6,2.9,2.2,1.4
"Leeds 109","E02006852",100.0,59.7,57.6,2.1,5.3,3.6,1.6,35.1,16.8,12.3,2.5,1.5,1.9
"Leeds 110","E02006861",100.0,26.4,24.9,1.5,18.3,12.1,6.2,55.3,4.6,46.0,1.0,1.8,1.9
"Leeds 111","E02006875",100.0,40.9,39.1,1.8,11.8,6.8,5.0,47.3,1.0,43.5,0.6,0.6,1.6
"Leeds 112","E02006876",100.0,66.6,63.8,2.7,2.8,2.1,0.8,30.6,11.4,7.8,3.8,4.5,3.1


